UF;COUNT_MUNICIPIOS;COUNT_BENEFICIADOS;SUM_PAGAMENTOS;ANO_MES_PAGAMENTO
AC;22;0;2722637500;2004
AL;102;0;15552063810;2004
AM;62;0;6668250140;2004
AP;16;0;1426518200;2004
BA;417;0;68544993360;2004
CE;184;0;47799119720;2004
DF;1;0;156072600;2004
ES;78;0;7273643270;2004
GO;246;0;9175963490;2004
MA;218;0;33923567910;2004
MG;853;0;53888151440;2004
MS;77;0;3040567150;2004
MT;139;0;5556688200;2004
PA;143;0;20856014880;2004
PB;223;0;21609219180;2004
PE;185;0;36759991020;2004
PI;222;0;19600797790;2004
PR;399;0;20587924610;2004
RJ;92;0;10689864300;2004
RN;167;0;15919442420;2004
RO;52;0;3518021400;2004
RR;15;0;1130614700;2004
RS;497;0;19488484710;2004
SC;293;0;8318702700;2004
SE;75;0;8541893640;2004
SP;645;0;32827360319;2004
TO;139;0;5179626500;2004
