city	uf	latitude	longitude	precision	address
BROTAS DE MACAUBAS	BA	-12.1351018	-42.4724578	APPROXIMATE	Brotas de Macaúbas - State of Bahia, Brazil
RECIFE	PE	-8.0475622	-34.8769643	APPROXIMATE	Recife - State of Pernambuco, Brazil
CAMPINAS	SP	-22.9098833	-47.0625812	APPROXIMATE	Campinas - State of São Paulo, Brazil
PIRIPIRI	PI	-4.3383128	-41.8402054	APPROXIMATE	Piripiri - State of Piauí, Brazil
CARUTAPERA	MA	-1.3464282	-46.018188	APPROXIMATE	Carutapera - State of Maranhão, Brazil
CHA GRANDE	PE	-8.2392125	-35.4613869	APPROXIMATE	Chã Grande - State of Pernambuco, Brazil
OLIVEIRA DOS BREJINHOS	BA	-12.2194586	-42.7857583	APPROXIMATE	Oliveira dos Brejinhos - State of Bahia, Brazil
MARACANAU	CE	-3.8674127	-38.6261113	APPROXIMATE	Maracanaú, CE, Brazil
NOSSA SENHORA DAS DORES	SE	-10.4857926	-37.1966221	APPROXIMATE	Nossa Senhora das Dores - State of Sergipe, Brazil
CRUZ DAS ALMAS	BA	-12.673555699999998	-39.1016848	APPROXIMATE	Cruz das Almas, BA, Brazil
PEIXOTO DE AZEVEDO	MT	-10.2439049	-54.9919725	APPROXIMATE	Peixoto de Azevedo - State of Mato Grosso, Brazil
PORTO	PI	-3.9523115	-42.7271587	APPROXIMATE	Porto - State of Piauí, Brazil
SANTA MARIA DA BOA VISTA	PE	-8.799686300000003	-39.8270828	APPROXIMATE	Santa Maria da Boa Vista - State of Pernambuco, Brazil
VIAMAO	RS	-30.0722165	-51.0969571	APPROXIMATE	Viamão, RS, Brazil
RIO BRANCO	AC	-9.9753837	-67.82491800000001	APPROXIMATE	Rio Branco - State of Acre, Brazil
DUQUE DE CAXIAS	RJ	-22.7862985	-43.30531060000001	APPROXIMATE	Duque de Caxias, RJ, Brazil
PEDRAS DE MARIA DA CRUZ	MG	-15.6192904	-44.285793700000006	APPROXIMATE	Pedras de Maria da Cruz - State of Minas Gerais, Brazil
MALACACHETA	MG	-17.8442329	-42.0789785	APPROXIMATE	Malacacheta, MG, Brazil
SAO PAULO	SP	-23.5505199	-46.6333094	APPROXIMATE	São Paulo, State of São Paulo, Brazil
SANTA TEREZINHA DO TOCANTINS	TO	-6.481217900000001	-47.7440315	APPROXIMATE	Santa Terezinha do Tocantins - State of Tocantins, Brazil
TANGUA	RJ	-22.7427762	-42.7206915	APPROXIMATE	Tanguá - State of Rio de Janeiro, Brazil
MACEIO	AL	-9.6498487	-35.7089492	APPROXIMATE	Maceió - Jardim da Saúde, Maceió - AL, Brazil
ARACAJU	SE	-10.9472468	-37.0730823	APPROXIMATE	Aracaju, SE, Brazil
CARATINGA	MG	-19.7896943	-42.1415731	APPROXIMATE	Caratinga - State of Minas Gerais, Brazil
